"Fact","Fact Note","New York city, New York","Value Note for New York city, New York","Bronx County, New York","Value Note for Bronx County, New York","Kings County, New York","Value Note for Kings County, New York","New York County, New York","Value Note for New York County, New York","Queens County, New York","Value Note for Queens County, New York","Richmond County, New York","Value Note for Richmond County, New York"
"Population estimates, July 1, 2025, (V2025)","","8,584,629","","1,406,332","","2,653,963","","1,664,862","","2,358,182","","501,290",""
"Population estimates base, April 1, 2020, (V2025)","","8,805,594","","1,472,640","","2,736,291","","1,694,984","","2,405,427","","496,252",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2025, (V2025)","","-2.5%","","-4.5%","","-3.0%","","-1.8%","","-2.0%","","1.0%",""
"Population, Census, April 1, 2020","","8,804,190","","1,472,654","","2,736,074","","1,694,251","","2,405,464","","495,747",""
"Population, Census, April 1, 2010","","8,175,133","","1,385,108","","2,504,700","","1,585,873","","2,230,722","","468,730",""
"Persons under 5 years, percent","","5.7%","","6.3%","","6.1%","","3.8%","","5.2%","","5.1%",""
"Persons under 18 years, percent","","20.2%","","23.5%","","20.7%","","12.9%","","18.2%","","20.4%",""
"Persons 65 years and over, percent","","16.6%","","15.7%","","15.8%","","18.7%","","18.4%","","19.3%",""
"Female persons, percent","","52.0%","","53.2%","","52.6%","","53.0%","","51.6%","","51.6%",""
"White alone, percent","","33.8%","","37.6%","","47.6%","","59.8%","","41.2%","","65.4%",""
"Black alone, percent","(a)","21.9%","","45.2%","","31.1%","","18.2%","","21.4%","","12.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.8%","","5.2%","","2.0%","","1.9%","","3.4%","","1.8%",""
"Asian alone, percent","(a)","14.7%","","5.7%","","14.8%","","14.8%","","29.5%","","16.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.5%","","0.1%","","0.2%","","0.2%","","0.1%",""
"Two or More Races, percent","","12.3%","","5.7%","","4.3%","","5.0%","","4.3%","","3.4%",""
"Hispanic or Latino, percent","(b)","28.5%","","57.0%","","19.8%","","25.3%","","29.5%","","19.9%",""
"White alone, not Hispanic or Latino, percent","","31.0%","","8.6%","","36.4%","","45.1%","","22.1%","","52.2%",""
"Veterans, 2020-2024","","122,761","","21,088","","31,586","","24,063","","35,435","","10,589",""
"Foreign-born persons, percent, 2020-2024","","36.6%","","34.6%","","35.3%","","28.2%","","47.6%","","25.8%",""
"Housing Units, July 1, 2025, (V2025)","","X","","583,114","","1,141,824","","938,554","","934,750","","186,310",""
"Owner-occupied housing unit rate, 2020-2024","","32.8%","","20.1%","","29.5%","","25.1%","","44.9%","","67.7%",""
"Median value of owner-occupied housing units, 2020-2024","","$777,600","","$529,500","","$905,000","","$1,090,500","","$723,800","","$675,500",""
"Median selected monthly owner costs - with a mortgage, 2020-2024","","$3,293","","$2,935","","$3,542","","$4,000+","","$3,094","","$2,979",""
"Median selected monthly owner costs - without a mortage, 2020-2024","","$1,150","","$1,039","","$1,135","","$1,500+","","$1,117","","$1,082",""
"Median gross rent, 2020-2024","","$1,821","","$1,458","","$1,833","","$2,197","","$1,956","","$1,733",""
"Building Permits, 2025","","X","","6,032","","6,844","","2,984","","3,395","","508",""
"Households, 2020-2024","","3,334,088","","534,100","","1,009,927","","778,281","","841,003","","170,777",""
"Persons per household, 2020-2024","","2.48","","2.53","","2.56","","2.00","","2.72","","2.85",""
"Living in the same house 1 year ago, percent of persons age 1 year+ , 2020-2024","","90.1%","","92.3%","","90.4%","","83.6%","","92.2%","","94.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2020-2024","","47.7%","","57.0%","","44.6%","","36.9%","","55.4%","","36.9%",""
"Households with a computer, percent, 2020-2024","","94.7%","","93.4%","","93.5%","","95.7%","","95.9%","","95.4%",""
"Households with a broadband Internet subscription, percent, 2020-2024","","90.5%","","86.8%","","89.5%","","92.4%","","92.3%","","91.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2020-2024","","83.8%","","75.4%","","84.4%","","89.5%","","82.6%","","88.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2020-2024","","41.6%","","22.4%","","42.1%","","64.2%","","36.1%","","35.7%",""
"With a disability, under age 65 years, percent, 2020-2024","","8.0%","","13.4%","","6.8%","","7.4%","","6.4%","","7.2%",""
"Persons without health insurance, under age 65 years, percent","","7.2%","","8.1%","","6.6%","","5.2%","","8.4%","","5.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2020-2024","","63.1%","","58.0%","","64.2%","","66.5%","","63.1%","","59.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2020-2024","","59.2%","","54.8%","","60.9%","","63.0%","","58.0%","","54.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","43,681,266","","1,979,761","","6,149,938","","28,544,148","","6,121,389","","886,030",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","126,098,139","","17,269,742","","31,154,069","","51,146,655","","21,652,831","","4,874,842",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","39,372,933","","1,386,738","","3,474,228","","8,799,233","","24,366,852","","1,345,882",""
"Total retail sales, 2022 ($1,000)","(c)","169,239,957","","11,798,408","","39,844,396","","87,597,904","","23,017,871","","6,981,378",""
"Total retail sales per capita, 2022","(c)","$20,303","","$8,538","","$15,387","","$54,936","","$10,102","","$14,208",""
"Mean travel time to work (minutes), workers age 16 years+, 2020-2024","","40.3","","43.3","","41.7","","31.2","","42.9","","43.1",""
"Median households income (in 2024 dollars), 2020-2024","","$80,483","","$48,676","","$80,263","","$103,931","","$86,136","","$98,333",""
"Per capita income in past 12 months (in 2024 dollars), 2020-2024","","$51,844","","$27,421","","$47,575","","$95,980","","$42,146","","$44,071",""
