"param","value","type","Appendix.Section","source","relevant.calibration.target","geography","definition"
"hiv.test.rate_1",0.000542256340494703,"numeric","7.1","","cc.dx.B","atlanta","Mean probability of HIV testing per time step for Black MSM."
"hiv.test.rate_2",0.00124643762713158,"numeric","7.1","","cc.dx.H","atlanta","Mean probability of HIV testing per time step for Hispanic MSM."
"hiv.test.rate_3",0.00108999777125858,"numeric","7.1","","cc.dx.W","atlanta","Mean probability of HIV testing per time step for White MSM."
"test.window.int",NA,"numeric","7.1","","","","Length of the HIV test window period in time steps.(i.e. the number of time steps between infection and test positivity)."
"tx.init.rate_1",NA,"numeric","7.2","","cc.linked1m.B","atlanta","Probability per time step that a Black MSM who has tested positive will initiate treatment."
"tx.init.rate_2",NA,"numeric","7.2","","cc.linked1m.H","atlanta","Probability per time step that a Hispanic MSM who has tested positive will initiate treatment."
"tx.init.rate_3",NA,"numeric","7.2","","cc.linked1m.W","atlanta","Probability per time step that a White MSM who has tested positive will initiate treatment."
"tx.halt.rate_1",0.00222634443344945,"numeric","7.2","","cc.vsupp.B","atlanta","Probability per time step that Black MSM who have started treatment and assigned to the partial VL suppression category will stop treatment."
"tx.halt.rate_2",0.00216097655864497,"numeric","7.2","","cc.vsupp.H","atlanta","Probability per time step that Hispanic MSM who have started treatment and assigned to the partial VL suppression category will stop treatment."
"tx.halt.rate_3",0.00142191253466527,"numeric","7.2","","cc.vsupp.W","atlanta","Probability per time step that White MSM who have started treatment and assigned to the partial VL suppression category will stop treatment."
"tx.reinit.rate_1",NA,"numeric","7.3","","","United-states","Probability per time step that a Black MSM who has stopped treatment and assigned to the partial VL suppression category will restart treatment. 0.1326 per year / 52 = 0.00255"
"tx.reinit.rate_2",NA,"numeric","7.3","","","United-states","Probability per time step that a Hispanic MSM who has stopped treatment and assigned to the partial VL suppression category will restart treatment. 0.1326 per year / 52 = 0.00255"
"tx.reinit.rate_3",NA,"numeric","7.3","","","United-states","Probability per time step that a White MSM who has stopped treatment and assigned to the partial VL suppression category will restart treatment. 0.1326 per year / 52 = 0.00255"
"max.time.off.tx.int",NA,"numeric","7.4","","","United-states","Number of time steps off treatment for a full suppressor before onset of AIDS, including time before diagnosis."
"vl.acute.rise.int",NA,"numeric","6","","","","Number of time steps to peak viremia during acute infection."
"vl.acute.peak",NA,"numeric","6","","","","Peak viral load (in log10 units) at the height of acute infection."
"vl.acute.fall.int",NA,"numeric","6","","","","Number of time steps from peak viremia to set-point viral load during the acute infection period."
"vl.set.point",NA,"numeric","6","","","","Set point viral load (in log10 units)."
"vl.aids.onset.int",NA,"numeric","6","","","","Number of time steps to AIDS for a treatment-naive patient."
"vl.aids.int",NA,"numeric","6","","","","Duration of AIDS stage infection in time steps."
"vl.aids.peak",NA,"numeric","6","","","","Maximum viral load during AIDS stage."
"vl.supp",NA,"numeric","6","","","","Log10 viral load at full suppression on ART. (VL = 50, undetectable)"
"vl.tx.down.rate",NA,"numeric","7.3","","","","Number of log10 units that viral load falls per time step from treatment initiation or re-initiation until the suppression level is reached (pre-AIDS stages). Calculated so 3 months (12 weeks) between suppressed and set point"
"vl.tx.aids.down.rate",NA,"numeric","7.3","","","","Number of log10 units that viral load falls per time step fromtreatment initiation or re-initiation until the suppression level is reached (AIDS stage). . Calculated so 3 months (12 weeks) between suppressed and set point"
"vl.tx.up.rate",NA,"numeric","7.3","","","","Number of log10 units that viral load rises per time step from treatment halting until expected value. . Calculated so 3 months (12 weeks) between suppressed and set point"
"aids.on.tx.mort.rate",NA,"numeric","7.4","","","","Mortality rate per time step for persons in the AIDS stage who are currently on ART."
"aids.off.tx.mort.rate",0.000536505626353421,"numeric","7.4","","disease.mr100","","Mortality rate per time step for persons in the AIDS stage who are currently off ART."
"a.rate",0.000422844226714786,"numeric","5","","num (size of pop)","","Rate by time step at which MSM enter the population."
"arrival.age",NA,"numeric","5","","","","Age (in years) of new arrivals."
"hiv.urai.prob",NA,"numeric","8.2","","","","Probability of infection for a man having unprotected receptive anal intercourse with an infected man at set point viral load."
"hiv.uiai.prob",NA,"numeric","8.2","","","","Probability of infection for an uncircumcised man having unprotected insertive anal intercourse with an infected man at set point viral load."
"hiv.acute.or",NA,"numeric","8.2","","","","Odds ratio comparing the odds of infection when the positive partner is in the acute stage to the odds of infection predicted by elevated viral load alone."
"hiv.circ.or",NA,"numeric","8.2","","","","Odds ratio comparing the odds of infection from insertive anal sex when the negative insertive partner is circumcised vs. not circumcised."
"hiv.cond.eff.or",NA,"numeric","8.2","","","","Odds ratio comparing the odds of HIV infection from anal sex when a condom is used properly vs. not used (biological efficacy)."
"cond.fail.or_1",NA,"numeric","9.3,9.4","","","","condom failures for Black MSM. (assumption)"
"cond.fail.or_2",NA,"numeric","9.3,9.4","","","","condom failures for Hispanic MSM. (assumption)"
"cond.fail.or_3",NA,"numeric","8.2","Rosenberg 2018 (Ann Epi)","I.prev.dx.B","","condom failures for white MSM. (assumption)"
"hiv.circ.prob_1",NA,"numeric","5.2","19","","","Probability that a Black new arrival in the population will be circumcised."
"hiv.circ.prob_2",NA,"numeric","5.2","19","","","Probability that a Hispanic new arrival in the population will be circumcised."
"hiv.circ.prob_3",NA,"numeric","5.2","19","","","Probability that a White new arrival in the population will be circumcised."
"acts.aids.vl",NA,"numeric","4","17","","","Viral load level after which sexual act rate goes to zero."
"acts.scale",NA,"numeric","4","","","","Scalar for main/casual act rate for model calibration."
"cond.scale",NA,"numeric","4","","","","Scalar for condom use probability for model calibration."
"hiv.trans.scale_1",3.47101560667349,"numeric","8.2","Rosenberg 2018 (Ann Epi)","I.prev.dx.H","","Relative scalar on base infection probabilities for model calibration for Black men."
"hiv.trans.scale_2",0.512976760905261,"numeric","8.2","Rosenberg 2018 (Ann Epi)","I.prev.dx.W","","Relative scalar on base infection probabilities for model calibration for Hispanic men."
"hiv.trans.scale_3",0.457558450979665,"numeric","8.2","","","","Relative scalar on base infection probabilities for model calibration for White men."
"hiv.gono.chla.rect.or",NA,"numeric","8.2","","","","Odds ratio comparing the odds of HIV infection given current rectal gonorrhea XOR chlamydia to the odds of HIV infection without."
"hiv.gono.chla.uret.or",NA,"numeric","8.2","","","","Odds ratio comparing the odds of HIV infection given current urethral gonorrhea XOR chlamydia to the odds of HIV infection without."
"hiv.gono.chla.dual.rr",NA,"numeric","7.5","","","","Discnount on second STI related HIV Transmission Odds Ratio when dual infection with both gonorrhea and chlamydia."
"hiv.syph.or",NA,"numeric","","","","","Odds ratio comparing the odds of HIV infection given current syphilis to the odds of HIV infection in the absence of current syphilis. (PMC8543214)"
"hiv.syph.dual.rr",NA,"numeric","","","","","Discount on lower STI related HIV Transmission Odds ratio with multiple STI infection implicating Syphilis."
"riskh.start",NA,"numeric","7.5","","","","Time step at which behavioral risk history assessment occurs."
"prep.start",NA,"numeric","missing?","2020 CDC HIV surveillance data , 2017 National HIV Behavioral Surveillance findings","cc.prep.B","","Time step at which the PrEP intervention should start."
"prep.start.rate_1",0.0061341205657304,"numeric","missing?","2020 CDC HIV surveillance data , 2017 National HIV Behavioral Surveillance findings","cc.prep.H","","Probability of starting PrEP given current indications for Black MSM."
"prep.start.rate_2",0.00457617950785111,"numeric","missing?","2020 CDC HIV surveillance data , 2017 National HIV Behavioral Surveillance findings","cc.prep.W","","Probability of starting PrEP given current indications for Hispanic MSM."
"prep.start.rate_3",0.006643879356075,"numeric","missing?","","","","Probability of starting PrEP given current indications for White MSM."
"prep.adhr.dist_1",NA,"numeric","missing?","","","","Proportion of men who are low, medium, and high adherent to PrEP for Black MSM."
"prep.adhr.dist_2",NA,"numeric","missing?","","","","Proportion of men who are low, medium, and high adherent to PrEP for Hispanic MSM."
"prep.adhr.dist_3",NA,"numeric","missing?","50","","","Proportion of men who are low, medium, and high adherent to PrEP for White MSM."
"prep.adhr.or_1",NA,"numeric","missing?","50","","","Odds ratio for infection per act associated with each level of adherence for Black MSM."
"prep.adhr.or_2",NA,"numeric","missing?","50","","","Odds ratio for infection per act associated with each level of adherence for Hispanic MSM."
"prep.adhr.or_3",NA,"numeric","missing?","https://onlinelibrary.wiley.com/doi/10.1002/jia2.25252","","","Odds ratio for infection per act associated with each level of adherence for White MSM."
"prep.discont.int_1",NA,"numeric","missing?","https://onlinelibrary.wiley.com/doi/10.1002/jia2.25252","","","Median interval until PrEP discontinuation in time steps for Black MSM. Calculated to get 56% retention 1Y and 41% 2Y"
"prep.discont.int_2",NA,"numeric","missing?","https://onlinelibrary.wiley.com/doi/10.1002/jia2.25252","","","Median interval until PrEP discontinuation in time steps for Hispanic MSM. Median interval until PrEP discontinuation in time steps for Black MSM. Calculated to get 56% retention 1Y and 41% 2Y"
"prep.discont.int_3",NA,"numeric","missing?","","","","Median interval until PrEP discontinuation in time steps for White MSM. Median interval until PrEP discontinuation in time steps for Black MSM. Calculated to get 56% retention 1Y and 41% 2Y"
