param,value,type,Appendix.Section,source,relevant.calibration.target,geography,definition
hiv.test.rate_1,0.001502146,numeric,7.1,,cc.dx.B,atlanta,Mean probability of HIV testing per time step for Black MSM.
hiv.test.rate_2,0.001471541,numeric,7.1,,cc.dx.H,atlanta,Mean probability of HIV testing per time step for Hispanic MSM.
hiv.test.rate_3,0.001466421,numeric,7.1,,cc.dx.W,atlanta,Mean probability of HIV testing per time step for White MSM.
test.window.int,3,numeric,7.1,,,,Length of the HIV test window period in time steps.(i.e. the number of time steps between infection and test positivity).
tx.init.rate_1,0.298361113628911,numeric,7.2,,cc.linked1m.B,atlanta,Probability per time step that a Black MSM who has tested positive will initiate treatment.
tx.init.rate_2,0.368208639586171,numeric,7.2,,cc.linked1m.H,atlanta,Probability per time step that a Hispanic MSM who has tested positive will initiate treatment.
tx.init.rate_3,0.347998730409527,numeric,7.2,,cc.linked1m.W,atlanta,Probability per time step that a White MSM who has tested positive will initiate treatment.
tx.halt.rate_1,0.002404553,numeric,7.2,,cc.vsupp.B,atlanta,Probability per time step that Black MSM who have started treatment and assigned to the partial VL suppression category will stop treatment.
tx.halt.rate_2,0.002198361,numeric,7.2,,cc.vsupp.H,atlanta,Probability per time step that Hispanic MSM who have started treatment and assigned to the partial VL suppression category will stop treatment.
tx.halt.rate_3,0.001215838,numeric,7.2,,cc.vsupp.W,atlanta,Probability per time step that White MSM who have started treatment and assigned to the partial VL suppression category will stop treatment.
tx.reinit.rate_1,0.00255,numeric,7.3,,,United-states,Probability per time step that a Black MSM who has stopped treatment and assigned to the partial VL suppression category will restart treatment. 0.1326 per year / 52 = 0.00255
tx.reinit.rate_2,0.00255,numeric,7.3,,,United-states,Probability per time step that a Hispanic MSM who has stopped treatment and assigned to the partial VL suppression category will restart treatment. 0.1326 per year / 52 = 0.00255
tx.reinit.rate_3,0.00255,numeric,7.3,,,United-states,Probability per time step that a White MSM who has stopped treatment and assigned to the partial VL suppression category will restart treatment. 0.1326 per year / 52 = 0.00255
max.time.off.tx.int,780,numeric,7.4,,,United-states,"Number of time steps off treatment for a full suppressor before onset of AIDS, including time before diagnosis."
vl.acute.rise.int,3,numeric,6,,,,Number of time steps to peak viremia during acute infection.
vl.acute.peak,6.886,numeric,6,,,,Peak viral load (in log10 units) at the height of acute infection.
vl.acute.fall.int,3,numeric,6,,,,Number of time steps from peak viremia to set-point viral load during the acute infection period.
vl.set.point,4.5,numeric,6,,,,Set point viral load (in log10 units).
vl.aids.onset.int,520,numeric,6,,,,Number of time steps to AIDS for a treatment-naive patient.
vl.aids.int,104,numeric,6,,,,Duration of AIDS stage infection in time steps.
vl.aids.peak,7,numeric,6,,,,Maximum viral load during AIDS stage.
vl.supp,1.5,numeric,6,,,,"Log10 viral load at full suppression on ART. (VL = 50, undetectable)"
vl.tx.down.rate,0.25,numeric,7.3,,,,Number of log10 units that viral load falls per time step from treatment initiation or re-initiation until the suppression level is reached (pre-AIDS stages). Calculated so 3 months (12 weeks) between suppressed and set point
vl.tx.aids.down.rate,0.25,numeric,7.3,,,,Number of log10 units that viral load falls per time step fromtreatment initiation or re-initiation until the suppression level is reached (AIDS stage). . Calculated so 3 months (12 weeks) between suppressed and set point
vl.tx.up.rate,0.25,numeric,7.3,,,,Number of log10 units that viral load rises per time step from treatment halting until expected value. . Calculated so 3 months (12 weeks) between suppressed and set point
aids.on.tx.mort.rate,0,numeric,7.4,,,,Mortality rate per time step for persons in the AIDS stage who are currently on ART.
